path,matched_texts,hit_rows,filename,dir,bucket,priority,repo_dest,path_score
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router/phase2d_final_verified_router_summary.json,deficit; final_uv; restoration_rate,3,phase2d_final_verified_router_summary.json,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router,KEEP_broad_137_router_summary,95,results/broad_137_controller_progression/,15
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/FINAL_HIERGRID_PHASE2_MANIFEST.json,deficit; final_uv; restoration_rate,3,FINAL_HIERGRID_PHASE2_MANIFEST.json,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203,KEEP_broad_137_manifest,95,results/broad_137_controller_progression/,15
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts/phase2g_llm_guided_rescue_runner.py,deficit; final_uv; final_vmin; llm_direct; llm_guided_refinement; restoration_rate; safety_fallback_physics_refinement,7,phase2g_llm_guided_rescue_runner.py,/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts,KEEP_script_phase2g_runner,90,scripts/,10
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346/reflection_v2_no_llm_failed_all_results.json,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,9,reflection_v2_no_llm_failed_all_results.json,/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346,KEEP_reflection_v2_no_llm_failed_all,90,results/reflection_v4_residual_cases/,15
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346/reflection_v2_no_llm_failed_per_scenario_results.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,9,reflection_v2_no_llm_failed_per_scenario_results.csv,/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346,KEEP_reflection_v2_no_llm_failed,90,results/reflection_v4_residual_cases/,15
/content/run_reflection_v4_safety_envelope/phase2g_stats_fixed_router_reconstructed/phase2g_stats_fixed_router_reconstructed/reconstructed_verified_router_from_v2b_v2r.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,7,reconstructed_verified_router_from_v2b_v2r.csv,/content/run_reflection_v4_safety_envelope/phase2g_stats_fixed_router_reconstructed/phase2g_stats_fixed_router_reconstructed,KEEP_reconstructed_router_61,90,results/complete_case_61_statistics/,15
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue/phase2g_llm_guided_rescue_summary.json,deficit; final_uv; final_vmin; llm_direct; restoration_rate; safety_fallback_physics_refinement,6,phase2g_llm_guided_rescue_summary.json,/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue,KEEP_phase2g_summary,90,results/phase2g_action_source_audit/,10
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue/phase2g_llm_guided_rescue_scenario_results.csv,deficit; final_uv; final_vmin; llm_direct; safety_fallback_physics_refinement,5,phase2g_llm_guided_rescue_scenario_results.csv,/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue,KEEP_phase2g_scenario_results,90,results/phase2g_action_source_audit/,10
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts/phase2d_v2r_rag_taboo_runner_VALIDATED.py,deficit; final_uv,2,phase2d_v2r_rag_taboo_runner_VALIDATED.py,/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts,KEEP_script_phase2d_runner,85,scripts/,10
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts/phase2d_v2d_global_regression_guarded_runner.py,deficit; final_uv; restoration_rate,3,phase2d_v2d_global_regression_guarded_runner.py,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts,KEEP_script_phase2d_runner,85,scripts/,15
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts/phase2d_iterative_blackboard_v2_deficit_aware.py,deficit,1,phase2d_iterative_blackboard_v2_deficit_aware.py,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts,KEEP_script_phase2d_runner,85,scripts/,15
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_135_MG3.json,fed_combined_load_1p5_line_135_MG3,1,fed_combined_load_1p5_line_135_MG3.json,/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation,KEEP_scenario_files,80,data/scenario_scopes/raw_federation_scenarios/,20
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_129_MG3.json,fed_combined_load_1p5_line_129_MG3,1,fed_combined_load_1p5_line_129_MG3.json,/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation,KEEP_scenario_files,80,data/scenario_scopes/raw_federation_scenarios/,20
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_128_MG3.json,fed_combined_load_1p5_line_128_MG3,1,fed_combined_load_1p5_line_128_MG3.json,/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation,KEEP_scenario_files,80,data/scenario_scopes/raw_federation_scenarios/,20
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_127_MG3.json,fed_combined_load_1p5_line_127_MG3,1,fed_combined_load_1p5_line_127_MG3.json,/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation,KEEP_scenario_files,80,data/scenario_scopes/raw_federation_scenarios/,20
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_101_MG1.json,fed_combined_load_1p5_line_101_MG1,1,fed_combined_load_1p5_line_101_MG1.json,/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation,KEEP_scenario_files,80,data/scenario_scopes/raw_federation_scenarios/,20
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo/phase2d_v2r_scenario_results.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3,6,phase2d_v2r_scenario_results.csv,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo,KEEP_broad_137_v2r_scenario,80,results/broad_137_controller_progression/,15
