source,destination,bucket,matched_texts,md5
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router/phase2d_final_verified_router_summary.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/phase2d_final_verified_router_summary.json,KEEP_broad_137_router_summary,deficit; final_uv; restoration_rate,d9e7c9d8962062d04785ffb93062af98
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/FINAL_HIERGRID_PHASE2_MANIFEST.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/FINAL_HIERGRID_PHASE2_MANIFEST.json,KEEP_broad_137_manifest,deficit; final_uv; restoration_rate,cacae7d0c81938e83ebd11142bd75488
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts/phase2g_llm_guided_rescue_runner.py,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/scripts/phase2g_llm_guided_rescue_runner.py,KEEP_script_phase2g_runner,deficit; final_uv; final_vmin; llm_direct; llm_guided_refinement; restoration_rate; safety_fallback_physics_refinement,aeacedabdc4e7b8d0cf592c7e5bed92c
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346/reflection_v2_no_llm_failed_all_results.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/reflection_v4_residual_cases/reflection_v2_no_llm_failed_all_results.json,KEEP_reflection_v2_no_llm_failed_all,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,aa82f34f054b80355ae1da19a54843fd
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v2_no_llm_failed_cases/reflection_v2_no_llm_failed_20260603_164346/reflection_v2_no_llm_failed_per_scenario_results.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/reflection_v4_residual_cases/reflection_v2_no_llm_failed_per_scenario_results.csv,KEEP_reflection_v2_no_llm_failed,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,37b41112f8b1ac1f383fc3c14d101d7b
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue/phase2g_llm_guided_rescue_summary.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/phase2g_action_source_audit/phase2g_llm_guided_rescue_summary.json,KEEP_phase2g_summary,deficit; final_uv; final_vmin; llm_direct; restoration_rate; safety_fallback_physics_refinement,6fa516dd77a522e16e3c51e41788866a
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/partial_results/phase2g_llm_guided_rescue/phase2g_llm_guided_rescue_scenario_results.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/phase2g_action_source_audit/phase2g_llm_guided_rescue_scenario_results.csv,KEEP_phase2g_scenario_results,deficit; final_uv; final_vmin; llm_direct; safety_fallback_physics_refinement,a9d1ce1f318fd3a78640e382e55ff588
/content/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/scripts/phase2d_v2r_rag_taboo_runner_VALIDATED.py,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/scripts/phase2d_v2r_rag_taboo_runner_VALIDATED.py,KEEP_script_phase2d_runner,deficit; final_uv,5edb17aa1650dffdb5a4ccb8f939c302
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts/phase2d_v2d_global_regression_guarded_runner.py,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/scripts/phase2d_v2d_global_regression_guarded_runner.py,KEEP_script_phase2d_runner,deficit; final_uv; restoration_rate,78fe1f284b1d98671e5c69246e07d902
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/scripts/phase2d_iterative_blackboard_v2_deficit_aware.py,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/scripts/phase2d_iterative_blackboard_v2_deficit_aware.py,KEEP_script_phase2d_runner,deficit,cd9590301a90e74b4a3bea6b42e61d0b
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_135_MG3.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/data/scenario_scopes/raw_federation_scenarios/fed_combined_load_1p5_line_135_MG3.json,KEEP_scenario_files,fed_combined_load_1p5_line_135_MG3,281b9839365994fff0a2f77fafab2774
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_129_MG3.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/data/scenario_scopes/raw_federation_scenarios/fed_combined_load_1p5_line_129_MG3.json,KEEP_scenario_files,fed_combined_load_1p5_line_129_MG3,cf244306174b034b4f4d7dec79612356
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_128_MG3.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/data/scenario_scopes/raw_federation_scenarios/fed_combined_load_1p5_line_128_MG3.json,KEEP_scenario_files,fed_combined_load_1p5_line_128_MG3,63b2264ecca37c9b8e93a3d33989f58e
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_127_MG3.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/data/scenario_scopes/raw_federation_scenarios/fed_combined_load_1p5_line_127_MG3.json,KEEP_scenario_files,fed_combined_load_1p5_line_127_MG3,a5fd50a3e700fa0673bbb9e084208a1d
/content/drive/MyDrive/HierGrid_Backup/hiergrid_phase1/scenarios/federation/fed_combined_load_1p5_line_101_MG1.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/data/scenario_scopes/raw_federation_scenarios/fed_combined_load_1p5_line_101_MG1.json,KEEP_scenario_files,fed_combined_load_1p5_line_101_MG1,986141d87801fc1ad7699240ff1296a9
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo/phase2d_v2r_scenario_results.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/phase2d_v2r_scenario_results.csv,KEEP_broad_137_v2r_scenario,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3,3d6b637f0660bf2051e14ccc8db42a3d
