scenario_idx,scenario_total,scenario_id,source_log,base_uv,final_uv,full_restoration,uv_reduced,stop_reason,final_vmin,final_deficit,last_logged_uv,llm_direct,llm_guided_refinement,safety_fallback_physics_refinement,actions
18,141,fed_combined_load_1p25_line_36_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,11,0,True,True,full_restoration,0.952,0.0,0.0,2,0,4,6
19,141,fed_combined_load_1p25_line_37_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,1,False,True,max_iterations_reached,0.9435,0.00651,1.0,6,2,2,10
20,141,fed_combined_load_1p25_line_39_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,1,2,6
21,141,fed_combined_load_1p25_line_40_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,2,3,7
22,141,fed_combined_load_1p25_line_41_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,0,3,7
23,141,fed_combined_load_1p25_line_49_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,10,0,True,True,full_restoration,0.952,0.0,0.0,4,0,4,8
24,141,fed_combined_load_1p25_line_84_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,1,2,5
25,141,fed_combined_load_1p25_line_85_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,2,2,8
26,141,fed_combined_load_1p25_line_86_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,1,3,7
27,141,fed_combined_load_1p25_line_89_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,21,0,True,True,full_restoration,0.952,0.0,0.0,6,0,3,9
28,141,fed_combined_load_1p25_line_91_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,0,3,6
29,141,fed_combined_load_1p25_line_92_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,0,3,6
30,141,fed_combined_load_1p25_line_96_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,3,2,9
31,141,fed_combined_load_1p25_line_97_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.9509,0.0,0.0,2,0,3,5
32,141,fed_combined_load_1p25_line_99_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,8,0,True,True,full_restoration,0.952,0.0,0.0,2,1,3,6
33,141,fed_combined_load_1p35_line_101_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,6,False,True,max_iterations_reached,0.9209,0.06573,6.0,7,2,1,10
34,141,fed_combined_load_1p35_line_127_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.952,0.0,0.0,3,0,3,6
35,141,fed_combined_load_1p35_line_128_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,17,3,False,True,max_iterations_reached,0.9289,0.03148,3.0,8,1,1,10
36,141,fed_combined_load_1p35_line_129_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.95,0.0,0.0,2,0,3,5
37,141,fed_combined_load_1p35_line_135_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.952,0.0,0.0,4,0,5,9
38,141,fed_combined_load_1p35_line_136_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,6,False,True,max_iterations_reached,0.9216,0.0745,6.0,8,2,0,10
39,141,fed_combined_load_1p35_line_138_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,20,1,False,True,max_iterations_reached,0.9374,0.01337,2.0,4,4,2,10
40,141,fed_combined_load_1p35_line_139_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,17,0,True,True,full_restoration,0.952,0.0,0.0,3,3,3,9
41,141,fed_combined_load_1p35_line_140_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,1,False,True,max_iterations_reached,0.9385,0.01147,1.0,6,1,3,10
42,141,fed_combined_load_1p35_line_165_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.9503,0.0,0.0,2,2,3,7
43,141,fed_combined_load_1p35_line_166_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.952,0.0,0.0,6,0,3,9
44,141,fed_combined_load_1p35_line_167_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.95,0.0,0.0,2,2,2,6
45,141,fed_combined_load_1p35_line_168_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,17,0,True,True,full_restoration,0.9501,0.0,0.0,2,2,4,8
46,141,fed_combined_load_1p35_line_170_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,14,5,False,True,max_iterations_reached,,,,7,2,1,10
47,141,fed_combined_load_1p35_line_171_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,17,0,True,True,full_restoration,0.9501,0.0,0.0,2,0,5,7
48,141,fed_combined_load_1p35_line_172_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.952,0.0,0.0,4,0,5,9
49,141,fed_combined_load_1p35_line_35_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.952,0.0,0.0,4,3,2,9
50,141,fed_combined_load_1p35_line_36_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,17,0,True,True,full_restoration,0.952,0.0,0.0,3,2,4,9
51,141,fed_combined_load_1p35_line_37_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,18,3,False,True,max_iterations_reached,0.9234,0.04071,3.0,6,2,2,10
52,141,fed_combined_load_1p35_line_39_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,0,True,True,full_restoration,0.952,0.0,0.0,5,0,4,9
53,141,fed_combined_load_1p35_line_40_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.952,0.0,0.0,3,3,2,8
54,141,fed_combined_load_1p35_line_41_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.952,0.0,0.0,5,2,2,9
55,141,fed_combined_load_1p35_line_49_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,24,0,True,True,full_restoration,0.9505,0.0,0.0,3,0,3,6
56,141,fed_combined_load_1p35_line_84_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,1,False,True,max_iterations_reached,0.9382,0.01184,1.0,6,2,2,10
57,141,fed_combined_load_1p35_line_85_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,3,False,True,max_iterations_reached,0.9299,0.03924,5.0,8,0,2,10
58,141,fed_combined_load_1p35_line_86_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,15,5,False,True,max_iterations_reached,0.9309,0.03787,5.0,7,1,2,10
60,141,fed_combined_load_1p35_line_91_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.952,0.0,0.0,4,0,4,8
61,141,fed_combined_load_1p35_line_92_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.952,0.0,0.0,4,0,4,8
62,141,fed_combined_load_1p35_line_96_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,0,True,True,full_restoration,0.9505,0.0,0.0,1,0,4,5
63,141,fed_combined_load_1p35_line_97_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,14,0,True,True,full_restoration,0.952,0.0,0.0,4,0,3,7
64,141,fed_combined_load_1p35_line_99_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,16,3,False,True,max_iterations_reached,0.9198,0.06297,5.0,8,0,2,10
65,141,fed_combined_load_1p5_line_101_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,61,21,False,True,max_iterations_reached,0.8712,0.68976,22.0,7,1,2,10
66,141,fed_combined_load_1p5_line_127_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,55,41,False,True,max_iterations_reached,0.8663,1.03142,41.0,10,0,0,10
67,141,fed_combined_load_1p5_line_128_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,60,15,False,True,max_iterations_reached,0.8353,0.76305,18.0,6,1,3,10
68,141,fed_combined_load_1p5_line_129_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,57,3,False,True,max_iterations_reached,0.9035,0.06152,5.0,2,3,5,10
69,141,fed_combined_load_1p5_line_135_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,58,20,False,True,max_iterations_reached,0.8438,0.6365,21.0,8,0,2,10
